Property,MAE
mu,1.1023479
alpha,7.8549814
homo,0.5649364
lumo,0.65815574
gap,0.55256534
r2,207.05054
zpve,0.51887566
u0,1046.6992
u298,1055.103
h298,1057.6697
g298,1033.268
cv,4.072318
u0_atom,8.770566
u298_atom,8.602863
h298_atom,9.01011
g298_atom,8.181309
a,3.7713075
b,0.5705827
c,0.38957527
